Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Norway,Eliteserien,2024,10/08/2024,15:00,Haugesund,HamKam,0,1,A,2.45,3.62,2.87,2.49,3.64,2.87,2.39,3.52,2.76,2.52,3.7,2.98
Norway,Eliteserien,2024,10/08/2024,17:00,Viking,Bodo/Glimt,1,1,D,2.8,3.93,2.37,2.8,4.05,2.47,2.67,3.79,2.35,2.9,3.95,2.46
Norway,Eliteserien,2024,11/08/2024,16:00,KFUM Oslo,Rosenborg,1,0,H,2.36,3.65,2.98,2.38,3.75,3.05,2.3,3.52,2.89,2.4,3.65,3.15
Norway,Eliteserien,2024,11/08/2024,16:00,Odd,Sarpsborg 08,1,1,D,2.77,3.79,2.44,2.77,4,2.54,2.68,3.68,2.38,2.9,3.8,2.52
Norway,Eliteserien,2024,11/08/2024,18:15,Lillestrom,Molde,1,2,A,2.55,3.61,2.75,2.87,3.9,2.75,2.49,3.53,2.65,2.66,3.7,2.8
Norway,Eliteserien,2024,14/08/2024,18:00,Fredrikstad,Haugesund,1,0,H,1.61,4.17,5.73,1.62,4.33,5.9,1.57,4.09,5.45,1.62,4.3,6.4
Norway,Eliteserien,2024,17/08/2024,17:00,Stromsgodset,Lillestrom,3,2,H,2.36,3.9,2.82,2.4,3.9,2.91,2.31,3.74,2.77,2.44,3.95,2.94
Norway,Eliteserien,2024,18/08/2024,13:30,Fredrikstad,Brann,0,4,A,3.06,3.5,2.38,3.12,3.5,2.5,2.95,3.36,2.36,3.1,3.55,2.44
Norway,Eliteserien,2024,18/08/2024,16:00,HamKam,Odd,1,0,H,1.78,3.99,4.52,1.8,4.05,4.52,1.75,3.83,4.34,1.83,3.95,4.8
Norway,Eliteserien,2024,18/08/2024,16:00,KFUM Oslo,Tromso,0,1,A,2.28,3.19,3.56,2.3,3.3,3.62,2.22,3.13,3.44,2.36,3.25,3.6
Norway,Eliteserien,2024,18/08/2024,16:00,Sarpsborg 08,Haugesund,2,2,D,1.73,4.27,4.47,1.75,4.33,4.51,1.7,4.17,4.28,1.76,4.4,4.7
Norway,Eliteserien,2024,18/08/2024,18:15,Rosenborg,Viking,2,1,H,2.45,3.64,2.86,2.51,3.8,2.86,2.39,3.57,2.76,2.48,3.8,2.98
Norway,Eliteserien,2024,21/08/2024,18:00,Rosenborg,Lillestrom,4,0,H,2,3.8,3.68,2.02,3.88,3.68,1.96,3.75,3.49,2.02,4,3.75
Norway,Eliteserien,2024,24/08/2024,15:00,Bodo/Glimt,Sarpsborg 08,6,0,H,1.29,6.42,9.24,1.35,6.5,10,1.28,6.02,8.84,1.31,6.6,10.5
Norway,Eliteserien,2024,25/08/2024,13:30,Lillestrom,Tromso,0,1,A,2.26,3.32,3.45,2.29,3.4,3.45,2.22,3.26,3.28,2.3,3.5,3.5
Norway,Eliteserien,2024,25/08/2024,16:00,Haugesund,Fredrikstad,1,0,H,2.94,3.3,2.57,3,3.35,2.57,2.87,3.21,2.48,2.98,3.4,2.64
Norway,Eliteserien,2024,25/08/2024,16:00,Molde,HamKam,3,0,H,1.41,5.31,7,1.45,5.31,7.5,1.4,4.94,6.75,1.45,5.4,7.6
Norway,Eliteserien,2024,25/08/2024,16:00,Sandefjord,Kristiansund,1,0,H,1.65,4.45,4.88,1.75,4.45,4.88,1.66,4.23,4.47,1.72,4.6,4.9
Norway,Eliteserien,2024,25/08/2024,16:00,Viking,Stromsgodset,5,2,H,1.66,4.61,4.59,1.7,4.61,4.75,1.65,4.4,4.37,1.69,4.8,4.8
